date,tr,snp100
2/28/2013,1218.9,682.53
3/1/2013,1220.91,683.65
3/4/2013,1226.04,686.52
3/5/2013,1238.1,693.27
3/6/2013,1239.88,694.15
3/7/2013,1242.87,695.82
3/8/2013,1247.35,698.27
3/11/2013,1251.86,700.76
3/12/2013,1247.57,698.31
3/13/2013,1248.65,698.62
3/14/2013,1255.97,702.72
3/15/2013,1254.24,701.75
3/18/2013,1247.53,698
3/19/2013,1245.59,696.91
3/20/2013,1252.12,700.56
3/21/2013,1241.86,694.81
3/22/2013,1252.15,700.57
3/25/2013,1248.08,698.29
3/26/2013,1258.14,703.74
3/27/2013,1256.7,702.92
3/28/2013,1259.64,704.57
4/1/2013,1255.47,702.17
4/2/2013,1264.18,707.05
4/3/2013,1252.91,700.55
4/4/2013,1257.36,702.97
4/5/2013,1251.14,699.49
4/8/2013,1258.17,703.1
4/9/2013,1263.35,705.99
4/10/2013,1279.1,714.74
4/11/2013,1283.2,716.94
4/12/2013,1280.41,715.38
4/15/2013,1254.04,700.65
4/16/2013,1270.96,710.1
4/17/2013,1253.23,700.19
4/18/2013,1244.17,695.1
4/19/2013,1254.49,700.82
4/22/2013,1261.03,704.45
4/23/2013,1274.33,711.89
4/24/2013,1271.85,710.37
4/25/2013,1275.45,712.37
4/26/2013,1275.56,712.4
4/29/2013,1284.46,717.37
4/30/2013,1287.35,718.98
5/1/2013,1276.34,712.79
5/2/2013,1287.92,719.21
5/3/2013,1299.61,725.65
5/6/2013,1302.29,727.15
5/7/2013,1307.7,730.13
5/8/2013,1314.22,733.33
5/9/2013,1309.93,730.42
5/10/2013,1314.28,732.85
5/13/2013,1315.27,733.33
5/14/2013,1327.14,739.74
5/15/2013,1334.4,743.52
5/16/2013,1329.57,740.8
5/17/2013,1342.03,747.72
5/20/2013,1341.27,747.3
5/21/2013,1344.13,748.89
5/22/2013,1335.91,744.21
5/23/2013,1332.1,741.94
5/24/2013,1332.95,742.42
5/28/2013,1341.37,747.09
5/29/2013,1332.84,742.28
5/30/2013,1337.19,744.6
5/31/2013,1317.48,733.63
6/3/2013,1328.62,739.74
6/4/2013,1322.33,736.19
6/5/2013,1304.96,726.4
6/6/2013,1314.15,731.48
6/7/2013,1330.54,740.6
6/10/2013,1331.04,740.85
6/11/2013,1317.61,733.37
6/12/2013,1307.75,727.71
6/13/2013,1325.12,737.25
6/14/2013,1315.87,732.1
6/17/2013,1325.74,737.6
6/18/2013,1335.68,743.12
6/19/2013,1318.37,733.49
6/20/2013,1286.65,715.69
6/21/2013,1290.05,717.58
6/24/2013,1274.22,708.77
6/25/2013,1284.62,714.45
6/26/2013,1296.59,721.04
6/27/2013,1302.92,724.52
6/28/2013,1295.91,720.62
7/1/2013,1302.86,724.36
7/2/2013,1303.66,724.57
7/3/2013,1305.18,725.42
7/5/2013,1318.67,732.91
7/8/2013,1326.62,737.01
7/9/2013,1335.82,742.13
7/10/2013,1334.88,741.57
7/11/2013,1352.3,751.15
7/12/2013,1355.51,752.94
7/15/2013,1357.44,754.01
7/16/2013,1353.96,752.07
7/17/2013,1357.81,754.08
7/18/2013,1363.3,757
7/19/2013,1364.26,757.51
7/22/2013,1367.66,759.38
7/23/2013,1366.34,758.65
7/24/2013,1364.12,757.42
7/25/2013,1365.19,758
7/26/2013,1367.29,759.16
7/29/2013,1362.73,756.6
7/30/2013,1362.2,756.31
7/31/2013,1360.57,755.23
8/1/2013,1376.01,763.74
8/2/2013,1379.53,765.7
8/5/2013,1377.17,764.3
8/6/2013,1369.54,760.05
8/7/2013,1366.18,757.84
8/8/2013,1370.73,760.14
8/9/2013,1364.15,756.27
8/12/2013,1363.81,756.08
8/13/2013,1368.82,758.62
8/14/2013,1362.4,754.94
8/15/2013,1344.04,744.57
8/16/2013,1340.17,742.38
8/19/2013,1333.56,738.7
8/20/2013,1335.17,739.59
8/21/2013,1327.73,735.43
8/22/2013,1337.19,740.67
